userid,date,slp.start,slp.end,slp.quality,time.in.bed,go.to.bed,wake.up,weekday,sentiment.score,mood.score,mood,temp.high,temp.low,humidity.high,precip.sum,weather.event,Day,WeekDay,FirstStart,FirstStartHour,LastEnd,LastEndHour,AvgMeetingDuration,TotalMeetingTime,WorkingDayDuration,PctTimeInMeetings
6,2018-03-31,2018-03-30T13:43:00Z,2018-03-30T21:23:00Z,0.79,460,0,8,Saturday,0.753245,4,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-01,2018-03-31T14:12:00Z,2018-03-31T20:57:00Z,0.61,405,1,6,Sunday,0.5,4,good,29,20,94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-02,2018-04-01T15:36:00Z,2018-04-01T21:58:00Z,0.55,381,1,7,Monday,0.8094266666666666,3,meh,32,20,94,3.05,"Rain , Thunderstorm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-03,2018-04-02T13:35:00Z,2018-04-02T20:53:00Z,0.87,437,23,6,Tuesday,0.753245,4,good,24,20,83,0.25,NA,3,Tuesday,2018-04-03T00:30:00Z,10,2018-04-03T11:00:00Z,21,81,405,630,0.75
6,2018-04-04,2018-04-03T14:42:00Z,2018-04-03T21:10:00Z,0.79,388,0,7,Wednesday,0.753245,4,good,25,20,88,0,NA,4,Wednesday,2018-04-04T00:00:00Z,10,2018-04-04T08:30:00Z,18,54.375,435,510,0.8055555555555556
6,2018-04-05,2018-04-04T13:34:00Z,2018-04-04T20:51:00Z,0.78,437,23,6,Thursday,0.753245,4,good,28,18,88,0,NA,5,Thursday,2018-04-05T00:30:00Z,10,2018-04-05T04:00:00Z,14,50,150,210,0.2777777777777778
6,2018-04-06,2018-04-05T15:06:00Z,2018-04-05T20:49:00Z,0.63,342,1,6,Friday,0.3961525,3,meh,25,19,94,0,NA,6,Friday,2018-04-06T05:00:00Z,15,2018-04-06T06:00:00Z,16,60,60,60,0.1111111111111111
6,2018-04-06,2018-04-05T15:06:00Z,2018-04-05T20:49:00Z,0.63,342,1,6,Friday,0.3961525,3,meh,25,19,94,0,NA,7,Saturday,2018-04-06T23:00:00Z,9,2018-04-07T07:00:00Z,17,480,480,480,0.8888888888888888
6,2018-04-07,2018-04-06T14:00:00Z,2018-04-06T20:49:00Z,0.77,408,0,6,Saturday,0.753245,4,good,28,19,88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-08,2018-04-07T14:02:00Z,2018-04-07T21:29:00Z,0.75,447,0,7,Sunday,0.5,5,rad,27,19,94,0,NA,9,Monday,2018-04-08T23:30:00Z,9,2018-04-09T05:00:00Z,15,75,150,330,0.2777777777777778
6,2018-04-09,2018-04-08T13:51:00Z,2018-04-08T21:20:00Z,0.74,448,23,7,Monday,0.753245,4,good,36,19,88,0,NA,10,Tuesday,2018-04-09T23:00:00Z,9,2018-04-10T11:00:00Z,21,60,540,720,1
6,2018-04-10,2018-04-09T13:41:00Z,2018-04-09T21:10:00Z,0.84,448,23,7,Tuesday,0.874679,5,rad,24,19,78,0,Rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-11,2018-04-10T14:35:00Z,2018-04-10T21:27:00Z,0.8,412,0,7,Wednesday,0.753245,4,good,28,20,78,0,NA,11,Wednesday,2018-04-11T00:00:00Z,10,2018-04-11T08:30:00Z,18,75,300,510,0.5555555555555556
6,2018-04-12,2018-04-11T15:40:00Z,2018-04-11T21:29:00Z,0,0,1,7,Thursday,0.753245,3,meh,35,19,88,0,NA,12,Thursday,2018-04-12T01:00:00Z,11,2018-04-12T07:00:00Z,17,45,180,360,0.3333333333333333
6,2018-04-13,2018-04-12T13:04:00Z,2018-04-12T21:21:00Z,0.85,497,23,7,Friday,0.927311,5,rad,34,23,41,0,NA,13,Friday,2018-04-13T00:00:00Z,10,2018-04-13T06:30:00Z,16,72,360,390,0.6666666666666666
6,2018-04-14,2018-04-13T15:20:00Z,2018-04-13T21:30:00Z,0.6,369,1,7,Saturday,0.113265,2,bad,31,23,50,0,Rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-15,2018-04-14T16:06:00Z,2018-04-14T21:27:00Z,0.59,321,2,7,Sunday,0.7132885,4,good,25,18,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-16,2018-04-15T13:51:00Z,2018-04-15T21:29:00Z,0.55,458,23,7,Monday,0.5,1,awful,31,18,56,0,NA,16,Monday,2018-04-16T06:30:00Z,16,2018-04-16T07:00:00Z,17,30,30,30,0.05555555555555555
6,2018-04-17,2018-04-16T13:49:00Z,2018-04-16T21:29:00Z,0.79,459,23,7,Tuesday,0.988798,5,rad,21,18,88,0,Rain,17,Tuesday,2018-04-17T01:15:00Z,11,2018-04-17T11:00:00Z,21,50,450,585,0.8333333333333334
6,2018-04-18,2018-04-17T13:41:00Z,2018-04-17T21:27:00Z,0.84,465,23,7,Wednesday,0.753245,3,meh,22,18,68,0,NA,18,Wednesday,2018-04-18T00:30:00Z,10,2018-04-18T10:00:00Z,20,67.5,270,570,0.5
6,2018-04-18,2018-04-17T13:41:00Z,2018-04-17T21:27:00Z,0.84,465,23,7,Wednesday,0.753245,3,meh,22,18,68,0,NA,19,Thursday,2018-04-18T22:00:00Z,8,2018-04-19T04:30:00Z,14,60,180,390,0.3333333333333333
6,2018-04-19,2018-04-18T15:52:00Z,2018-04-18T21:26:00Z,0.61,334,1,7,Thursday,0.243737,5,rad,27,15,77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-20,2018-04-19T18:14:00Z,2018-04-19T21:27:00Z,0.35,193,4,7,Friday,0.753245,3,meh,22,16,94,0,NA,20,Friday,2018-04-20T02:00:00Z,12,2018-04-20T06:30:00Z,16,105,210,270,0.3888888888888889
6,2018-04-21,2018-04-20T13:55:00Z,2018-04-20T21:28:00Z,0.74,452,23,7,Saturday,0.753245,4,good,22,17,94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-22,2018-04-21T15:03:00Z,2018-04-21T21:13:00Z,0.72,370,1,7,Sunday,0.940855,4,good,23,15,88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-23,2018-04-22T14:40:00Z,2018-04-22T21:12:00Z,0.82,391,0,7,Monday,0.753245,3,meh,24,15,88,0,NA,23,Monday,2018-04-23T01:00:00Z,11,2018-04-23T04:00:00Z,14,60,120,180,0.2222222222222222
6,2018-04-24,2018-04-23T14:23:00Z,2018-04-23T21:28:00Z,0.73,424,0,7,Tuesday,0.753245,3,meh,23,16,88,0,NA,24,Tuesday,2018-04-24T01:30:00Z,11,2018-04-24T06:30:00Z,16,48,240,300,0.4444444444444444
6,2018-04-25,2018-04-24T14:05:00Z,2018-04-24T21:46:00Z,0.7,461,0,7,Wednesday,0.753245,4,good,23,14,94,0,NA,25,Wednesday,2018-04-25T05:00:00Z,15,2018-04-25T05:45:00Z,15,45,45,45,0.08333333333333333
6,2018-04-25,2018-04-24T14:05:00Z,2018-04-24T21:46:00Z,0.7,461,0,7,Wednesday,0.753245,4,good,23,14,94,0,NA,26,Thursday,2018-04-25T23:30:00Z,9,2018-04-26T07:00:00Z,17,60,120,450,0.2222222222222222
6,2018-04-26,2018-04-25T16:00:00Z,2018-04-25T21:56:00Z,0.62,356,2,7,Thursday,0.019801,3,meh,22,17,94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-27,2018-04-26T14:05:00Z,2018-04-26T21:57:00Z,0.72,472,0,7,Friday,0.753245,4,good,20,16,90,4.06,Rain,27,Friday,2018-04-27T03:00:00Z,13,2018-04-27T05:30:00Z,15,75,150,150,0.2777777777777778
6,2018-04-28,2018-04-27T14:37:00Z,2018-04-27T21:54:00Z,0.81,436,0,7,Saturday,0.940855,4,good,19,14,100,0.51,Rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-29,2018-04-28T14:17:00Z,2018-04-28T21:24:00Z,0.71,426,0,7,Sunday,0.753245,5,rad,20,13,94,10.92,"Rain , Thunderstorm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018-04-30,2018-04-29T14:57:00Z,2018-04-29T21:30:00Z,0.71,393,0,7,Monday,0.753245,3,meh,19,12,94,0,Rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
