userid,date,N,sentiment.score,mood.mean,mood.rounded,mood
1,2018-04-01,2,0.5654635,4,4,good
1,2018-04-02,3,0.569739,3.3333333333333335,3,meh
1,2018-04-04,1,0.5,5,5,rad
1,2018-04-06,1,0.043855,1,1,awful
1,2018-04-07,1,0.793444,4,4,good
1,2018-04-08,1,0.816831,3,3,meh
1,2018-04-09,1,0.072527,5,5,rad
1,2018-04-10,1,0.234632,5,5,rad
1,2018-04-11,1,0.970774,4,4,good
1,2018-04-12,1,0.238068,3,3,meh
1,2018-04-13,2,0.871713,4,4,good
1,2018-04-14,1,0.989947,5,5,rad
1,2018-04-15,1,0.927291,4,4,good
1,2018-04-16,1,0.697203,3,3,meh
1,2018-04-18,1,0.040274,3,3,meh
1,2018-04-19,1,0.020541,1,1,awful
1,2018-04-20,1,0.891628,4,4,good
1,2018-04-21,1,0.947665,5,5,rad
1,2018-04-22,1,0.959439,4,4,good
1,2018-04-23,1,0.025364,3,3,meh
1,2018-04-24,1,0.120537,5,5,rad
1,2018-04-25,1,0.908867,4,4,good
1,2018-04-26,1,0.187279,3,3,meh
1,2018-04-27,1,0.235496,4,4,good
1,2018-04-28,1,0.788956,4,4,good
1,2018-04-29,1,0.999303,4,4,good
2,2018-04-01,1,0.909896,4,4,good
2,2018-04-02,1,0.915258,5,5,rad
2,2018-04-03,1,0.120887,4,4,good
2,2018-04-04,1,0.246666,3,3,meh
2,2018-04-05,1,0.060922,1,1,awful
2,2018-04-06,1,0.195243,2,2,bad
2,2018-04-07,1,0.726567,4,4,good
2,2018-04-08,1,0.029628,3,3,meh
2,2018-04-09,1,0.239062,1,1,awful
2,2018-04-10,1,0.230107,3,3,meh
2,2018-04-11,1,0.936651,4,4,good
2,2018-04-12,1,0.886085,3,3,meh
2,2018-04-13,1,0.222257,3,3,meh
2,2018-04-14,1,0.875542,4,4,good
2,2018-04-15,1,0.5,4,4,good
2,2018-04-16,1,0.058239,3,3,meh
2,2018-04-17,1,0.773807,4,4,good
2,2018-04-18,1,0.027147,2,2,bad
2,2018-04-19,1,0.133332,2,2,bad
2,2018-04-20,1,0.847912,4,4,good
2,2018-04-21,1,0.753245,3,3,meh
2,2018-04-22,1,0.849276,4,4,good
2,2018-04-23,1,0.108272,2,2,bad
2,2018-04-24,1,0.199184,4,4,good
2,2018-04-25,1,0.206181,4,4,good
2,2018-04-26,1,0.006915,1,1,awful
2,2018-04-27,1,0.11344,2,2,bad
2,2018-04-28,1,0.163974,3,3,meh
2,2018-04-29,1,0.920618,3,3,meh
3,2018-04-01,1,0.701915,4,4,good
3,2018-04-02,1,0.275353,3,3,meh
3,2018-04-03,1,0.23375,3,3,meh
3,2018-04-04,1,0.07982,3,3,meh
3,2018-04-05,1,0.215021,3,3,meh
3,2018-04-06,1,0.210886,4,4,good
3,2018-04-07,1,0.762869,4,4,good
3,2018-04-08,1,0.111211,2,2,bad
3,2018-04-09,1,0.224034,3,3,meh
3,2018-04-10,1,0.10613,3,3,meh
3,2018-04-11,1,0.743742,4,4,good
3,2018-04-12,1,0.944816,4,4,good
3,2018-04-13,1,0.70275,4,4,good
3,2018-04-14,1,0.5,3,3,meh
3,2018-04-15,1,0.865062,3,3,meh
3,2018-04-16,1,0.5,3,3,meh
3,2018-04-17,1,0.03365,2,2,bad
3,2018-04-18,1,0.096696,3,3,meh
3,2018-04-19,1,0.186133,3,3,meh
3,2018-04-20,1,0.18959,3,3,meh
3,2018-04-21,1,0.5,4,4,good
3,2018-04-22,1,0.744376,3,3,meh
3,2018-04-23,1,0.056059,2,2,bad
3,2018-04-24,1,0.093883,2,2,bad
3,2018-04-25,1,0.5,3,3,meh
3,2018-04-26,1,0.179192,3,3,meh
3,2018-04-27,1,0.085154,3,3,meh
3,2018-04-28,1,0.5,3,3,meh
3,2018-04-29,1,0.190929,3,3,meh
4,2018-04-01,1,0.5,4,4,good
4,2018-04-02,1,0.915821,4,4,good
4,2018-04-03,1,0.217832,4,4,good
4,2018-04-04,2,0.4928655,4,4,good
4,2018-04-05,1,0.832341,4,4,good
4,2018-04-06,1,0.184008,4,4,good
4,2018-04-07,1,0.905856,4,4,good
4,2018-04-08,2,0.8536695000000001,4,4,good
4,2018-04-09,1,0.122458,4,4,good
4,2018-04-10,1,0.813298,4,4,good
4,2018-04-11,2,0.3580895,4,4,good
4,2018-04-12,1,0.030524,1,1,awful
4,2018-04-13,1,0.5,4,4,good
4,2018-04-14,1,0.5,4,4,good
4,2018-04-15,1,0.751868,4,4,good
4,2018-04-16,1,0.228114,4,4,good
4,2018-04-17,1,0.29065,4,4,good
4,2018-04-18,1,0.093657,2,2,bad
4,2018-04-19,1,0.146867,4,4,good
4,2018-04-20,1,0.190146,5,5,rad
4,2018-04-21,1,0.796692,5,5,rad
4,2018-04-22,2,0.961848,4.5,4,good
4,2018-04-23,1,0.801166,4,4,good
4,2018-04-24,1,0.81701,4,4,good
4,2018-04-25,1,0.006915,2,2,bad
4,2018-04-26,1,0.71075,4,4,good
4,2018-04-27,2,0.5123675,3,3,meh
4,2018-04-28,2,0.274997,3,3,meh
4,2018-04-29,1,0.699903,4,4,good
5,2018-04-01,2,0.952755,4,4,good
5,2018-04-02,1,0.114812,3,3,meh
5,2018-04-03,1,0.180355,2,2,bad
5,2018-04-04,1,0.762828,4,4,good
5,2018-04-05,1,0.987559,4,4,good
5,2018-04-06,1,0.900073,4,4,good
5,2018-04-07,1,0.859566,4,4,good
5,2018-04-08,1,0.957001,4,4,good
5,2018-04-09,1,0.01415,3,3,meh
5,2018-04-10,1,0.281393,3,3,meh
5,2018-04-11,1,0.974545,4,4,good
5,2018-04-12,1,0.929137,5,5,rad
5,2018-04-13,1,0.983278,4,4,good
5,2018-04-14,1,0.852891,4,4,good
5,2018-04-15,1,0.934312,4,4,good
5,2018-04-16,1,0.826417,4,4,good
5,2018-04-17,1,0.05137,3,3,meh
5,2018-04-18,1,0.897696,4,4,good
5,2018-04-19,1,0.053185,3,3,meh
5,2018-04-20,1,0.865372,3,3,meh
5,2018-04-21,1,0.989814,4,4,good
5,2018-04-22,1,0.996069,4,4,good
5,2018-04-23,1,0.124529,3,3,meh
5,2018-04-24,1,0.92294,3,3,meh
5,2018-04-25,1,0.885915,4,4,good
5,2018-04-26,1,0.030462,4,4,good
5,2018-04-27,1,0.991994,4,4,good
5,2018-04-28,1,0.940092,4,4,good
5,2018-04-29,1,0.971939,4,4,good
6,2018-03-27,1,0.989576,4,4,good
6,2018-03-28,2,0.40618550000000003,2.5,2,bad
6,2018-03-29,3,0.8343376666666668,3.6666666666666665,4,good
6,2018-03-30,1,0.753245,4,4,good
6,2018-03-31,1,0.753245,4,4,good
6,2018-04-01,1,0.5,4,4,good
6,2018-04-02,3,0.8094266666666666,3.3333333333333335,3,meh
6,2018-04-03,1,0.753245,4,4,good
6,2018-04-04,1,0.753245,4,4,good
6,2018-04-05,2,0.753245,4,4,good
6,2018-04-06,2,0.3961525,3,3,meh
6,2018-04-07,1,0.753245,4,4,good
6,2018-04-08,1,0.5,5,5,rad
6,2018-04-09,1,0.753245,4,4,good
6,2018-04-10,1,0.874679,5,5,rad
6,2018-04-11,1,0.753245,4,4,good
6,2018-04-12,1,0.753245,3,3,meh
6,2018-04-13,1,0.927311,5,5,rad
6,2018-04-14,1,0.113265,2,2,bad
6,2018-04-15,2,0.7132885,4.5,4,good
6,2018-04-16,1,0.5,1,1,awful
6,2018-04-17,1,0.988798,5,5,rad
6,2018-04-18,1,0.753245,3,3,meh
6,2018-04-19,1,0.243737,5,5,rad
6,2018-04-20,1,0.753245,3,3,meh
6,2018-04-21,1,0.753245,4,4,good
6,2018-04-22,1,0.940855,4,4,good
6,2018-04-23,1,0.753245,3,3,meh
6,2018-04-24,1,0.753245,3,3,meh
6,2018-04-25,1,0.753245,4,4,good
6,2018-04-26,1,0.019801,3,3,meh
6,2018-04-27,1,0.753245,4,4,good
6,2018-04-28,1,0.940855,4,4,good
6,2018-04-29,1,0.753245,5,5,rad
6,2018-04-30,1,0.753245,3,3,meh
