ID - NEEDS TO BE UPDATED,User,year,date,weekday,time,mood,activities,note,KeyPhrase,sentimentScore,KeyPhrase Delimited,,,,,,
103,3,2018,11-April,Wednesday,20:16,good,work | study,Fulham are up to second. Saw kids for bedtime.,kids bedtime,0.743742,kids | bedtime,,,,,,
104,3,2018,12-April,Thursday,20:42,good,work | sport | study,Went for a swim after lunch which felt good. Finished off AT1.,swim lunch AT1,0.944816,swim | lunch | AT1,,,,,,
105,3,2018,13-April,Friday,21:07,good,work | family,Walked James to school and lunch in the sun.,James school,0.70275,James | school,,,,,,
106,3,2018,14-April,Saturday,21:40,meh,family,"Looking at houses in the morning, change car oil and maintenance in the afternoon.",car oil morning maintenance,0.5,car oil | morning | maintenance,,,,,,
107,3,2018,15-April,Sunday,21:48,meh,family | study,Breakfast with the family followed by a study day.,family study day,0.865062,family | study day,,,,,,
108,3,2018,16-April,Monday,21:22,meh,work | sport,Busy day in the office but OK. A swim in the afternoon. Feeling tired.,Busy day office swim,0.5,Busy day | office | swim,,,,,,
109,3,2018,17-April,Tuesday,21:32,bad,work | study,I have an ear ache.,ear ache,0.03365,ear ache,,,,,,
110,3,2018,18-April,Wednesday,22:08,meh,,Day off work sick.,Day,0.096696,Day,,,,,,
111,3,2018,19-April,Thursday,20:08,meh,work,Longish day in the office. Had afternoon tea with kids,Longish day office,0.186133,Longish day | office,,,,,,
112,3,2018,20-April,Friday,20:00,meh,work | study,Feeling OK. Average day at work. Spent evening putting together a technical presentation,Average day work evening,0.18959,Average day | work | evening,,,,,,
113,3,2018,21-April,Saturday,22:33,good,relax | family,Day with family at local park and then down to the beach,local park Day,0.5,local park | Day,,,,,,
114,3,2018,22-April,Sunday,20:26,meh,study,Spent most of the day at the library,day library,0.744376,day | library,,,,,,
115,3,2018,23-April,Monday,20:41,bad,work,Not a good nights sleep and a long day in the office,long day good nights sleep,0.056059,long day | good nights sleep,,,,,,
116,3,2018,24-April,Tuesday,20:00,bad,work,Long stressful day in the office,stressful day,0.093883,stressful day,,,,,,
117,6,2018,26-Apr,Thursday,20:00,meh,Study,Working late today!,,0.019801,,,,,,,
118,6,2018,25-Apr,Wednesday,20:00,good,relax,,,0.753245,,,,,,,
119,6,2018,24-Apr,Tuesday,20:00,meh,relax,,,0.753245,,,,,,,
120,6,2018,23-Apr,Monday,20:00,meh,work,,,0.753245,,,,,,,
121,6,2018,22-Apr,Sunday,20:00,good,friends,Dinner with friends,Dinner,0.940855,Dinner,,,,,,
122,6,2018,21-Apr,Saturday,20:00,good,relax,,,0.753245,,,,,,,
123,6,2018,20-Apr,Friday,20:00,meh,,,,0.753245,,,,,,,
124,6,2018,19-Apr,Thursday,20:00,rad,Study,Coding for my DAM assignment,Coding,0.243737,Coding,,,,,,
125,6,2018,18-Apr,Wednesday,08:57,meh,drinking coffee,,,0.753245,,,,,,,
126,6,2018,17-Apr,Tuesday,20:00,rad,Study,DSI is always fun!!!,DSI,0.988798,DSI,,,,,,
127,6,2018,16-Apr,Monday,20:00,awful,Study,DAM assignment due on Thursday and I haven't started yet,DAM assignment,0.5,DAM assignment,,,,,,
128,6,2018,15-Apr,Sunday,20:00,rad,Study,Just completed and submitted my AT1 assignment. What a relief!!,AT1 assignment relief,0.5,AT1 assignment | relief,,,,,,
129,6,2018,15-Apr,Sunday,17:33,good,Study,Finished my final draft and proof reading it now,final draft proof,0.926577,final draft | proof,,,,,,
130,6,2018,14-Apr,Saturday,20:00,bad,Study,Behind on the assignment,assignment,0.113265,assignment,,,,,,
131,6,2018,13-Apr,Friday,20:00,rad,relax,Thank god it's Friday,god,0.927311,god,,,,,,
132,6,2018,12-Apr,Thursday,20:00,meh,work,,,0.753245,,,,,,,
133,6,2018,11-Apr,Wednesday,20:00,good,relax,,,0.753245,,,,,,,
134,6,2018,10-Apr,Tuesday,20:00,rad,Study,Data mystery box was cool,Data mystery box,0.874679,Data mystery box,,,,,,
135,2,2018,29-Apr,Sunday,18:38,meh,study,Playing around with Tableau,Tableau,0.920618,Tableau,,,,,,
136,2,2018,28-Apr,Saturday,18:00,meh,,Hangover,Hangover,0.163974,Hangover,,,,,,
137,2,2018,27-Apr,Friday,18:00,bad,work,Supposed to have the afternoon off work but kept being pulled into work.,work afternoon,0.11344,work | afternoon,,,,,,
138,2,2018,26-Apr,Thursday,21:08,awful,work,Bad day,Bad day,0.006915,Bad day,,,,,,
139,2,2018,25-Apr,Wednesday,19:43,good,work | friends,"Preparing presentation, working from home, didn't get a public holiday, but dinner with friends.",public holiday home dinner friends,0.206181,public holiday | home | dinner | friends,,,,,,
140,2,2018,24-Apr,Tuesday,18:30,good,work,"Pretty average day, back to back meetings.",average day meetings,0.199184,average day | meetings,,,,,,
141,2,2018,23-Apr,Monday,21:43,bad,work,"Worked until 10pm on review, was meant to be doing uni work",review uni work,0.108272,review | uni work,,,,,,
142,2,2018,22-Apr,Sunday,20:23,good,relax,"Brunch, reading and some assignment prep",Brunch,0.849276,Brunch,,,,,,
143,3,2018,25-April,Wednesday,20:35,meh,family | study,"Dawn service, watched some of the march in the city. Study in the afternoon",Study Dawn service afternoon,0.5,Study | Dawn service | afternoon,,,,,,
144,3,2018,26-April,Thursday,20:25,meh,work,Full day at work but OK,day,0.179192,day,,,,,,
145,3,2018,27-April,Friday,22:57,meh,work,Another day at work,day,0.085154,day,,,,,,
146,3,2018,28-April,Saturday,20:25,meh,shopping | family,Kids are coming down with colds,Kids,0.5,Kids,,,,,,
147,3,2018,29-April,Sunday,20:18,meh,work | study,Spent most of the day studying with a dash of work,day dash of work,0.190929,day | dash of work,,,,,,
148,6,2018,30-Apr,Monday,20:00,meh,work,,,0.753245,,,,,,,
149,6,2018,29-Apr,Sunday,20:00,rad,movies,,,0.753245,,,,,,,
150,6,2018,28-Apr,Saturday,20:00,good,good meal,Dinner with friends,Dinner,0.940855,Dinner,,,,,,
151,6,2018,27-Apr,Friday,22:12,good,movies,,,0.753245,,,,,,,
152,4,2018,10-Apr,Tuesday,10:45,good,study,After a few days search found an interesting problem to solve.,days search interesting problem,0.813298,days search | interesting problem,,,,,,
153,4,2018,11-Apr,Wednesday,08:00,good,study,Started writing my assignment.,assignment,0.216179,assignment,,,,,,
154,4,2018,11-Apr,Wednesday,21:23,good,work,Went to Sydney Web Analytics meetup and met new peers.,Sydney Web Analytics meetup new peers,0.5,Sydney Web Analytics meetup | new peers,,,,,,
155,4,2018,12-Apr,Thursday,20:45,awful,work,Stressed after work and study.,work,0.030524,work,,,,,,
156,4,2018,13-Apr,Friday,08:25,good,sport,Went running in the morning.,morning,0.5,morning,,,,,,
157,4,2018,14-Apr,Saturday,11:20,good,sport,Cricket in the morning,Cricket,0.5,Cricket,,,,,,
158,4,2018,15-Apr,Sunday,09:20,good,study,Need to put a few more content to my assignnment.,content assignnment,0.751868,content | assignnment,,,,,,
159,4,2018,16-Apr,Monday,08:25,good,study,Started putting thoughts for my DAM assignment,thoughts,0.228114,thoughts,,,,,,
160,4,2018,17-Apr,Tuesday,22:35,good,travel,Travelling home from Uni.,,0.29065,,,,,,,
161,4,2018,18-Apr,Wednesday,22:27,bad,work | study,Back from work. Need to start with my studies.,work studies,0.093657,work | studies,,,,,,
162,4,2018,19-Apr,Thursday,10:25,good,study,Working on my assignment draft.,assignment draft,0.146867,assignment draft,,,,,,
163,4,2018,20-Apr,Friday,09:20,rad,relax,Relaxing after a hard week's work and studies.,hard week's work studies,0.190146,hard week's work | studies,,,,,,
164,4,2018,21-Apr,Saturday,17:42,rad,relax | travel,Visited Cumberland Forest Reserve.,Cumberland Forest Reserve,0.796692,Cumberland Forest Reserve,,,,,,
165,4,2018,22-Apr,Sunday,18:36,rad,friends | good meal | sport,Hanged out with friends. Had a good lunch followed by a few games of badminton.,good lunch games of badminton friends,0.987062,good lunch | games of badminton | friends,,,,,,
166,4,2018,22-Apr,Sunday,20:48,good,movies,Watched a movie after a long time.,movie long time,0.936634,movie | long time,,,,,,
167,4,2018,23-Apr,Monday,15:23,good,study,Started researching on some interesting case studies.,interesting case studies,0.801166,interesting case studies,,,,,,
168,4,2018,24-Apr,Tuesday,17:12,good,family,Spent some time with my family.,time,0.81701,time,,,,,,
169,4,2018,25-Apr,Wednesday,21:24,bad,work | travel,Tedious day.,Tedious day,0.006915,Tedious day,,,,,,
170,4,2018,26-Apr,Thursday,11:21,good,work | study,Took initiative for a project. Stressful times ahead.,initiative project,0.71075,initiative | project,,,,,,
171,4,2018,27-Apr,Friday,09:25,bad,study,Data collection is painful.,Data collection,0.049994,Data collection,,,,,,
172,4,2018,27-Apr,Friday,22:45,good,movies,Watched Avengers movie.,Avengers movie,0.974741,Avengers movie,,,,,,
173,4,2018,28-Apr,Saturday,11:34,bad,study,Data collection is painful.,Data collection,0.049994,Data collection,,,,,,
174,4,2018,28-Apr,Saturday,20:10,good,sport,Played table-tennis with one of my colleague.,table-tennis colleague,0.5,table-tennis | colleague,,,,,,
175,4,2018,29-Apr,Sunday,17:33,good,study,Started collating all the data collection source codes.,data collection source codes,0.699903,data collection source codes,,,,,,
176,1,2018,29 Apr,Sunday,20:00,good,travel,Went to our favorite beach long reef :-),favorite beach long reef,0.999303,favorite beach long reef,,,,,,
177,1,2018,28 Apr,Saturday,20:33,good,work,"Was working during weekend, achieved good progress",weekend good progress,0.788956,weekend | good progress,,,,,,
178,1,2018,27 Apr,Friday,20:00,good,work,Work hard play hard,Work,0.235496,Work,,,,,,
179,1,2018,26 Apr,Thursday,20:00,meh,work,Testing phase at project boring,Testing phase,0.187279,Testing phase,,,,,,
180,1,2018,25 Apr,Wednesday,20:00,good,sport,"Went to swimming pool, feel good",swimming pool,0.908867,swimming pool,,,,,,
181,1,2018,24 Apr,Tuesday,20:00,rad,sport,"My back pain is getting better, new physio is awosome",new physio pain,0.120537,new physio | pain,,,,,,
182,1,2018,23 Apr,Monday,20:11,meh,work,Back to work. I wish to have another day off,work day,0.025364,work | day,,,,,,
183,1,2018,22 Apr,Sunday,20:05,good,relax,Our favourite Long reef beach is the best in Syndey,best favourite Long reef beach,0.959439,best | favourite Long reef beach,,,,,,
184,1,2018,21 Apr,Saturday,22:24,rad,reading,Read a lot of articles on big data. Exciting topic!,lot of articles big data,0.947665,lot of articles | big data,,,,,,
185,1,2018,20 Apr,Friday,21:14,good,relax,Feel better today,,0.891628,,,,,,,
186,1,2018,19 Apr,Thursday,20:00,awful,work,Exhausted at work and home,work,0.020541,work,,,,,,
187,1,2018,18 Apr,Wednesday,20:00,meh,work,Tense at work,Tense,0.040274,Tense,,,,,,
188,1,2018,16 Apr,Tuesday,20:47,meh,work,As always first part of the week is the busiest,week,0.697203,week,,,,,,
189,1,2018,15 Apr,Monday,20:23,good,sport,Went to the swimming pool. Feel good,swimming pool,0.927291,swimming pool,,,,,,
190,1,2018,13 Apr,Sunday,20:01,meh,work,Spent all day preparing for AT1. Tired,day AT1,0.803759,day | AT1,,,,,,
191,1,2018,14 Apr,Saturday,20:03,rad,relax,Freshwater beach is the best,Freshwater beach,0.989947,Freshwater beach,,,,,,
192,1,2018,13 Apr,Friday,20:13,rad,relax,Friday evening is my favourite. Can relax and unwind after the busy week,evening favourite busy week,0.939667,evening | favourite | busy week,,,,,,
193,1,2018,12 Apr,Thursday,20:21,meh,sport,Went for a run. Was not practicing for long. Difficult with breathing,breathing run,0.238068,breathing | run,,,,,,
194,1,2018,11 Apr,Wednesday,20:00,good,sport,Went to NorthSydney swimming pool. Fantastic experience every time,NorthSydney swimming pool Fantastic experience,0.970774,NorthSydney swimming pool | Fantastic experience,,,,,,
195,1,2018,10 Apr,Tuesday,08:42,rad,sport,"Visited physio, doctor gave me a good advice how to target back pain",good advice doctor physio,0.234632,good advice | doctor | physio,,,,,,
196,1,2018,9 Apr,Monday,20:00,rad,sport,Stretching helped me with back pain,pain,0.072527,pain,,,,,,
197,1,2018,8 Apr,Sunday,20:00,meh,relax,Relaxed but very tired from the trip to the northern beaches. Let say overrelaxed,trip northern beaches,0.816831,trip | northern beaches,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
