User,Date,Day of The week,Steps Counting                     (Number of Steps),Steps Counting                     (Time),Steps Counting                     (Km),Where to Walk,Drinking Water,Sleep Time,Sleep Quality,Comments
A,21/3/2018,Wednesday,110,0.00,0.10,Home,600,7,80,
A,22/3/2018,Thursday,2820,26.00,1.90,Street,1100,7.5,70,
A,23/3/2018,Friday,11583,123.00,8.40,Street,2300,8,55,
A,24/3/2018,Saturday,6437,77.00,4.80,Beach,2500,7,70,
A,25/3/2018,Sunday,6646,69.00,4.80,Street,2000,7,80,
A,26/3/2018,Monday,2649,25.00,2.00,Street,1500,6.5,50,
A,27/3/2018,Tuesday,4801,54.00,3.20,Street,2400,7,70,
A,28/3/2018,Wednesday,3255,34.00,2.20,Street,1200,7,50,
A,29/3/2018,Thursday,2125,23.00,1.50,Street,900,8,60,
A,30/3/2018,Friday,3130,34.00,2.30,Street,1200,7,80,
A,31/3/2018,Saturday,3005,32.00,2.20,Street,1000,7,80,
A,1/4/2018,Sunday,6561,72.00,4.50,Park,4500,6.5,70,
A,2/4/2018,Monday,3112,29,2.1,Street,500,5.5,50,
A,3/4/2018,Tuesday,4112,47,3,Club,1200,8,70,
A,4/4/2018,Wednesday,184,1,0.1,Home,400,7,70,
A,5/4/2018,Thursday,3219,35,2.2,Street,1000,7.5,90,
A,6/4/2018,Friday,101,0,0.1,Nowhere,300,9,40,
A,7/4/2018,Saturday,7505,87,5.3,Club,2600,7.5,60,
A,8/4/2018,Sunday,1931,18,1.4,Street,1000,6,70,
A,9/4/2018,Monday,3559,40,2.6,Street,1400,6.5,70,
B,21/3/2018,Wednesday,3637,33.00,2.40,street,600,7.25,70,
B,22/3/2018,Thursday,2460,22.00,1.62,street,1300,6.5,60,
B,23/3/2018,Friday,4541,41.00,2.99,tennis courts,600,7,60,
B,24/3/2018,Saturday,377,3.00,0.24,garden,700,7,60,
B,25/3/2018,Sunday,1590,14.00,1.04,boat club,1200,6.5,60,
B,26/3/2018,Monday,5587,50.00,3.68,street,600,6.5,60,
B,27/3/2018,Tuesday,5523,50.00,3.64,street,1000,7.5,80,
B,28/3/2018,Wednesday,9245,84.00,6.10,tennis courts,1500,7,70,
B,29/3/2018,Thursday,5010,45.00,3.30,street,1000,9,80,
B,30/3/2018,Friday,650,5.00,0.42,garden,1000,7,60,
B,31/3/2018,Saturday,1106,10.00,0.72,garden,1500,7,60,
B,1/4/2018,Sunday,1099,9.00,0.72,boat club,1200,9,90,
B,2/4/2018,Monday,2006,18,1.32,street,1000,8,80,
B,3/4/2018,Tuesday,4900,44,3.32,street,1000,6.5,70,
B,4/4/2018,Wednesday,8797,79,5.8,tennis courts,2000,7,70,
B,5/4/2018,Thursday,2030,18,1.33,garden,1000,8,70,
B,6/4/2018,Friday,7633,68,5.03,tennis courts,2000,8.5,80,
B,7/4/2018,Saturday,2409,21,1.58,sailing,1500,7,60,
B,8/4/2018,Sunday,1341,12,0.88,home,1500,6.5,50,
C,21/3/2018,Wednesday,7340,55.61,5.56,Park,600,7,80,
C,22/3/2018,Thursday,4260,32.27,3.23,Park,300,6,70,
C,23/3/2018,Friday,8350,63.26,6.33,Street,600,5,55,
C,24/3/2018,Saturday,14280,108.18,10.82,Beach,1200,7,70,
C,25/3/2018,Sunday,7332,55.55,5.55,Beach,600,8,80,
C,26/3/2018,Monday,8239,62.42,6.24,Park,800,5,50,
C,27/3/2018,Tuesday,7349,55.67,5.57,Street,600,6.5,70,
C,28/3/2018,Wednesday,12350,93.56,9.36,Park,1200,6,50,
C,29/3/2018,Thursday,4230,32.05,3.20,Park,300,7,60,
C,30/3/2018,Friday,8360,63.33,6.33,Street,600,8,80,
C,31/3/2018,Saturday,16389,124.16,12.42,Beach,2000,9,80,
C,1/4/2018,Sunday,5320,40.30,4.03,Park,1200,9,70,
C,2/4/2018,Monday,3391,32,2.23,Street,600,5,60,
C,3/4/2018,Tuesday,7232,60,4.77,Park,1200,6,80,
C,4/4/2018,Wednesday,3591,26,2.36,Park,600,7,70,
C,5/4/2018,Thursday,14233,110,11,Street ,1800,6,60,
C,6/4/2018,Friday,4693,35.5,3.55,Street,600,6,70,